UTC Time, Parameter, Value
2021-09-21 03:30:05, SNR, 6007.5965702387375
2021-09-21 03:30:25, SNR, 3310.9432827627143
2021-09-21 03:30:55, SNR, 3182.712476368468
2021-09-21 03:31:05, SNR, 4794.261288892959
2021-09-21 03:31:35, SNR, 5018.230805657508
2021-09-21 03:31:45, SNR, 4214.344534989719
2021-09-21 03:32:05, SNR, 6248.343598771508
2021-09-21 03:32:15, SNR, 4280.729590357219
2021-09-21 03:32:25, SNR, 3266.9138881185822
2021-09-21 03:32:35, SNR, 4262.869114019847
2021-09-21 03:32:45, SNR, 5094.331600368334
2021-09-21 03:32:55, SNR, 4664.933093592516
2021-09-21 03:33:05, SNR, 3747.72071336478
2021-09-21 03:33:45, SNR, 4841.939857398881
2021-09-21 03:33:55, SNR, 3775.5328974056606
2021-09-21 03:34:15, SNR, 3436.87652703127
2021-09-21 03:34:25, SNR, 3380.8436483247974
2021-09-21 03:34:35, SNR, 6115.098219257608
2021-09-21 03:34:45, SNR, 6494.778594134082
2021-09-21 03:34:55, SNR, 4565.044328592947
2021-09-21 03:35:15, SNR, 3862.676900604454
2021-09-21 03:35:25, SNR, 5192.078249127078
2021-09-21 03:35:35, SNR, 5227.78405311739
2021-09-21 03:35:45, SNR, 4599.345473580875
2021-09-21 03:35:55, SNR, 3840.3827046937513
2021-09-21 03:36:05, SNR, 6415.610475493292
2021-09-21 03:36:15, SNR, 3194.527251268116
2021-09-21 03:36:35, SNR, 5439.906006271734
2021-09-21 03:36:45, SNR, 6488.071761086131
2021-09-21 03:36:55, SNR, 5879.182736909661
2021-09-21 03:37:05, SNR, 4582.9469991065935
2021-09-21 03:38:05, SNR, 5853.126487530718
2021-09-21 03:38:15, SNR, 4010.638810161958
2021-09-21 03:38:35, SNR, 4280.4294263140655
2021-09-21 03:38:45, SNR, 3391.6180663900996
2021-09-21 03:38:55, SNR, 6181.742300273071
2021-09-21 03:39:05, SNR, 3383.773678019302
2021-09-21 03:39:15, SNR, 3893.2249529744126
2021-09-21 03:39:25, SNR, 3503.7133873628327
2021-09-21 03:39:45, SNR, 4464.550087468195
2021-09-21 03:40:25, SNR, 4868.813296707374
2021-09-21 03:40:55, SNR, 5566.505036184481
2021-09-21 03:41:05, SNR, 7224.1528157358225
2021-09-21 03:41:15, SNR, 4289.60290512032
2021-09-21 03:41:35, SNR, 3476.7294719975216
2021-09-21 03:41:45, SNR, 4107.594827071567
2021-09-21 03:41:55, SNR, 4154.145441192844
2021-09-21 03:42:05, SNR, 4092.161419806976
2021-09-21 03:42:15, SNR, 4195.731192032776
2021-09-21 03:42:25, SNR, 5452.309153795432
2021-09-21 03:42:35, SNR, 4095.6983219998538
2021-09-21 03:42:45, SNR, 3458.9447103900484
2021-09-21 03:42:55, SNR, 4211.093246497336
2021-09-21 03:43:15, SNR, 6083.0326169234195
2021-09-21 03:43:25, SNR, 3309.3243070508142
2021-09-21 03:43:35, SNR, 4221.93350637157
2021-09-21 03:43:55, SNR, 3567.85760913327
2021-09-21 03:44:55, SNR, 3760.5346524954966
2021-09-21 03:45:05, SNR, 3499.043761980907
2021-09-21 03:45:15, SNR, 4522.535853719632
2021-09-21 03:45:25, SNR, 5859.427738861173
2021-09-21 03:45:35, SNR, 4278.25444218642
2021-09-21 03:45:45, SNR, 4078.381727180461
2021-09-21 03:45:55, SNR, 4555.026768613083
2021-09-21 03:46:05, SNR, 4613.114340013675
2021-09-21 03:46:15, SNR, 3407.441870537528
2021-09-21 03:46:45, SNR, 3700.8743653498727
2021-09-21 03:47:25, SNR, 4384.860083418548
2021-09-21 03:47:35, SNR, 5865.212886633464
2021-09-21 03:47:45, SNR, 4062.618771936157
2021-09-21 03:47:55, SNR, 4865.936785723718
2021-09-21 03:48:05, SNR, 4127.096190539733
2021-09-21 03:48:15, SNR, 5093.166794882839
2021-09-21 03:50:05, SNR, 4770.077937700689
2021-09-21 03:50:15, SNR, 4866.525525257856
2021-09-21 03:50:25, SNR, 3572.923504322699
2021-09-21 03:50:35, SNR, 3963.9071729234697
2021-09-21 03:50:45, SNR, 6317.182875016361
2021-09-21 03:50:55, SNR, 4232.7590398556285
2021-09-21 03:51:05, SNR, 3698.8553754628792
2021-09-21 03:51:15, SNR, 3607.2612330580414
