UTC Time, Parameter, Value
2021-09-06 00:40:05, SNR, 3910.455094305375
2021-09-06 00:40:15, SNR, 4268.220132470772
2021-09-06 00:40:35, SNR, 4507.288553068553
2021-09-06 00:40:45, SNR, 4223.123044491157
2021-09-06 00:41:35, SNR, 4298.547968007023
2021-09-06 00:41:55, SNR, 4344.872073737814
2021-09-06 00:42:05, SNR, 4472.418606202362
2021-09-06 00:42:25, SNR, 4050.122889110664
2021-09-06 00:42:35, SNR, 4153.2583290966495
2021-09-06 00:42:45, SNR, 3914.492428309043
2021-09-06 00:42:55, SNR, 4145.143199094765
2021-09-06 00:43:15, SNR, 4189.049565821075
2021-09-06 00:43:25, SNR, 4486.419368156452
2021-09-06 00:43:35, SNR, 4100.315354678734
2021-09-06 00:43:45, SNR, 3829.471325277917
2021-09-06 00:44:05, SNR, 4465.438841346779
2021-09-06 00:44:25, SNR, 4065.831052764153
2021-09-06 00:44:35, SNR, 4031.4625448296074
2021-09-06 00:45:05, SNR, 3907.6412475838374
2021-09-06 00:45:25, SNR, 4032.0333373792114
2021-09-06 00:45:35, SNR, 4165.532635656945
2021-09-06 00:46:45, SNR, 3790.17408467416
2021-09-06 00:46:55, SNR, 4290.708506543972
2021-09-06 00:47:05, SNR, 3987.0072246009136
2021-09-06 00:47:15, SNR, 4243.512200625093
2021-09-06 00:47:25, SNR, 3754.9852585429353
2021-09-06 00:47:55, SNR, 4222.9982320526715
2021-09-06 00:48:05, SNR, 3938.7649579728177
2021-09-06 00:48:15, SNR, 4165.948117097836
2021-09-06 00:48:25, SNR, 4213.232867921065
2021-09-06 00:49:05, SNR, 4484.399243156428
2021-09-06 00:49:15, SNR, 4160.922238296856
2021-09-06 00:49:45, SNR, 4581.626098500172
2021-09-06 00:50:25, SNR, 4272.075088204579
2021-09-06 00:50:35, SNR, 3919.105280680544
2021-09-06 00:50:45, SNR, 4351.646487677068
2021-09-06 00:50:55, SNR, 3985.3386125828574
2021-09-06 00:51:45, SNR, 4143.865849779936
2021-09-06 00:52:05, SNR, 4128.052714315579
2021-09-06 00:52:15, SNR, 4438.4430768868415
2021-09-06 00:52:25, SNR, 4404.619727494671
2021-09-06 00:52:45, SNR, 3720.3504012191456
2021-09-06 00:52:55, SNR, 4311.5698259984565
2021-09-06 00:53:55, SNR, 4445.791125740009
2021-09-06 00:54:05, SNR, 4462.008538334678
2021-09-06 00:54:15, SNR, 4100.580939951069
2021-09-06 00:54:25, SNR, 3970.2816944505703
2021-09-06 00:54:35, SNR, 4154.530984033011
2021-09-06 00:54:45, SNR, 4160.321600097817
2021-09-06 00:54:55, SNR, 4498.947715695708
2021-09-06 00:55:05, SNR, 4501.32224878248
2021-09-06 00:55:15, SNR, 4044.6791233651447
2021-09-06 00:55:35, SNR, 4054.5971559506374
2021-09-06 00:55:45, SNR, 4269.936729456708
2021-09-06 00:55:55, SNR, 3999.8546500830184
2021-09-06 00:56:15, SNR, 4081.739259993533
2021-09-06 00:56:25, SNR, 4456.326400040892
2021-09-06 00:56:35, SNR, 4057.1951702425017
2021-09-06 00:56:45, SNR, 3897.463801756052
2021-09-06 00:56:55, SNR, 4110.3562973131375
2021-09-06 00:57:05, SNR, 4279.962910905217
2021-09-06 00:57:25, SNR, 3952.7811390836896
2021-09-06 00:57:35, SNR, 3688.2708638430313
2021-09-06 00:57:45, SNR, 3933.354290146019
2021-09-06 00:58:15, SNR, 4353.021397027821
2021-09-06 01:00:05, SNR, 4039.461906901744
2021-09-06 01:00:15, SNR, 3803.4617064359063
2021-09-06 01:00:25, SNR, 4092.66068262742
2021-09-06 01:00:35, SNR, 3734.955546725352
2021-09-06 01:00:55, SNR, 4379.269487476597
2021-09-06 01:01:15, SNR, 3795.4989422775593
2021-09-06 01:01:35, SNR, 4036.7433238915105
2021-09-06 01:01:45, SNR, 3918.882412592732
2021-09-06 01:01:55, SNR, 4443.548195581913
2021-09-06 01:02:05, SNR, 3990.9849950110975
2021-09-06 01:02:15, SNR, 3989.8048322016216
2021-09-06 01:02:35, SNR, 3852.6994777835944
2021-09-06 01:02:45, SNR, 4121.618416891392
2021-09-06 01:03:35, SNR, 3986.4903233055784
2021-09-06 01:03:45, SNR, 4091.838345583084
2021-09-06 01:03:55, SNR, 4006.750057021471
2021-09-06 01:04:05, SNR, 4234.95828522118
2021-09-06 01:04:15, SNR, 3910.9350882623703
2021-09-06 01:04:35, SNR, 3936.91744328556
2021-09-06 01:04:45, SNR, 3908.2685630947935
2021-09-06 01:04:55, SNR, 4166.364516640936
2021-09-06 01:05:05, SNR, 3876.102140325602
2021-09-06 01:05:15, SNR, 4405.092423659857
2021-09-06 01:05:35, SNR, 4123.484477473024
2021-09-06 01:05:45, SNR, 3815.9367630663646
2021-09-06 01:05:55, SNR, 4273.698910146316
2021-09-06 01:06:55, SNR, 3727.178702584416
2021-09-06 01:07:05, SNR, 4215.822119570453
2021-09-06 01:07:15, SNR, 4358.263935839207
2021-09-06 01:07:35, SNR, 4137.540844347661
2021-09-06 01:07:45, SNR, 4425.608508298822
2021-09-06 01:07:55, SNR, 4316.298696908576
2021-09-06 01:08:05, SNR, 3838.417658582925
2021-09-06 01:08:15, SNR, 4107.062314113125
2021-09-06 01:08:25, SNR, 4274.475223694094
2021-09-06 01:08:35, SNR, 4022.1581139215264
2021-09-06 01:08:45, SNR, 4021.992904669949
2021-09-06 01:08:55, SNR, 3988.636106200016
2021-09-06 01:09:05, SNR, 4492.2830951479755
2021-09-06 01:09:25, SNR, 3723.890123870276
2021-09-06 01:09:45, SNR, 3923.713439227352
2021-09-06 01:09:55, SNR, 4566.1699950701695
2021-09-06 01:10:05, SNR, 4290.002391164337
2021-09-06 01:10:15, SNR, 3863.4443989493457
2021-09-06 01:10:35, SNR, 4161.2396571221025
2021-09-06 01:10:45, SNR, 4170.824458788722
2021-09-06 01:10:55, SNR, 4030.160301416939
2021-09-06 01:11:05, SNR, 4494.638804117327
2021-09-06 01:11:15, SNR, 3954.249457705312
2021-09-06 01:11:25, SNR, 3724.278456872103
2021-09-06 01:11:35, SNR, 4007.533989151869
2021-09-06 01:11:45, SNR, 3943.1988138552606
2021-09-06 01:11:55, SNR, 4303.28155224219
2021-09-06 01:12:05, SNR, 4600.698580131088
2021-09-06 01:12:15, SNR, 3929.579395658255
2021-09-06 01:12:45, SNR, 3769.0789802391096
2021-09-06 01:12:55, SNR, 3870.969239890812
2021-09-06 01:13:05, SNR, 4409.296108065445
2021-09-06 01:13:15, SNR, 4194.0517762084255
2021-09-06 01:13:25, SNR, 4407.889390941978
2021-09-06 01:13:35, SNR, 4481.049524232797
2021-09-06 01:13:45, SNR, 4285.287957530854
2021-09-06 01:13:55, SNR, 4176.3719207703225
2021-09-06 01:14:05, SNR, 3864.31235721246
2021-09-06 01:14:15, SNR, 4274.926200807503
2021-09-06 01:14:25, SNR, 4227.362979915365
2021-09-06 01:14:35, SNR, 3775.908859641084
2021-09-06 01:14:45, SNR, 3811.023231790455
2021-09-06 01:14:55, SNR, 4123.909105791434
2021-09-06 01:15:05, SNR, 4428.220406603958
2021-09-06 01:15:35, SNR, 4114.223806279198
2021-09-06 01:16:05, SNR, 3820.849617840868
2021-09-06 01:16:15, SNR, 3734.5352847743648
2021-09-06 01:16:25, SNR, 4176.2623599886965
2021-09-06 01:16:35, SNR, 3784.5125130314314
2021-09-06 01:16:55, SNR, 3940.1564608467784
2021-09-06 01:17:05, SNR, 4385.968593727888
2021-09-06 01:17:15, SNR, 4307.707158871158
2021-09-06 01:17:35, SNR, 4444.224957091565
2021-09-06 01:17:55, SNR, 4498.004174710116
2021-09-06 01:18:05, SNR, 4330.706365706162
2021-09-06 01:18:15, SNR, 4328.70438142073
2021-09-06 00:40:05, Doppler_noise, -0.008198905918334276
2021-09-06 00:40:35, Doppler_noise, -0.005995772175765524
2021-09-06 00:40:45, Doppler_noise, 0.001350107646089782
2021-09-06 00:41:15, Doppler_noise, -0.009772484990890009
2021-09-06 00:41:35, Doppler_noise, -0.004763723185760681
2021-09-06 00:41:55, Doppler_noise, -0.010448626005882032
2021-09-06 00:42:05, Doppler_noise, -0.00542622293551176
2021-09-06 00:42:25, Doppler_noise, -0.006861609948828118
2021-09-06 00:42:35, Doppler_noise, -0.00424493731873099
2021-09-06 00:42:45, Doppler_noise, -0.0010949317544373116
2021-09-06 00:42:55, Doppler_noise, -0.007915742396789938
2021-09-06 00:43:05, Doppler_noise, -0.002185350018066856
2021-09-06 00:43:25, Doppler_noise, 0.004212081969171777
2021-09-06 00:43:35, Doppler_noise, -0.004020856542751972
2021-09-06 00:43:45, Doppler_noise, 0.003143894796380664
2021-09-06 00:44:05, Doppler_noise, -0.010456195692427173
2021-09-06 00:44:25, Doppler_noise, -0.005639777544956814
2021-09-06 00:45:05, Doppler_noise, -0.0012682433093686996
2021-09-06 00:45:15, Doppler_noise, -0.007292049492548358
2021-09-06 00:45:25, Doppler_noise, -0.0009518931606180558
2021-09-06 00:45:35, Doppler_noise, -0.002088498655098192
2021-09-06 00:46:15, Doppler_noise, -0.0044660855205620464
2021-09-06 00:46:45, Doppler_noise, 0.002505313567894518
2021-09-06 00:46:55, Doppler_noise, 0.005363558943372482
2021-09-06 00:47:05, Doppler_noise, -0.005261897105924618
2021-09-06 00:47:15, Doppler_noise, 0.006121686674305238
2021-09-06 00:47:25, Doppler_noise, -0.0010569679161562815
2021-09-06 00:47:55, Doppler_noise, -0.008150152316488857
2021-09-06 00:48:15, Doppler_noise, -0.0006055937737983186
2021-09-06 00:48:25, Doppler_noise, -0.0030517279482182857
2021-09-06 00:49:05, Doppler_noise, -0.008721719601680888
2021-09-06 00:49:35, Doppler_noise, 0.001875975210396064
2021-09-06 00:49:45, Doppler_noise, -0.0008512213414633152
2021-09-06 00:50:05, Doppler_noise, -0.00681065153594318
2021-09-06 00:50:45, Doppler_noise, 0.0031368413975769727
2021-09-06 00:50:55, Doppler_noise, -0.0021548163260831643
2021-09-06 00:51:45, Doppler_noise, 0.004216177699504442
2021-09-06 00:52:05, Doppler_noise, -0.009708592571769259
2021-09-06 00:52:15, Doppler_noise, -0.000224042956347148
2021-09-06 00:52:25, Doppler_noise, 0.003851024542200321
2021-09-06 00:52:45, Doppler_noise, -0.0007634439268713321
2021-09-06 00:52:55, Doppler_noise, -0.003671811534104563
2021-09-06 00:54:05, Doppler_noise, -0.004343655912975919
2021-09-06 00:54:15, Doppler_noise, -0.0032157366645151346
2021-09-06 00:54:25, Doppler_noise, 0.003907968409635032
2021-09-06 00:54:35, Doppler_noise, -0.009538880026980223
2021-09-06 00:54:45, Doppler_noise, 0.0009554522060852833
2021-09-06 00:54:55, Doppler_noise, -0.002580720591026875
2021-09-06 00:55:05, Doppler_noise, -0.009471654812500674
2021-09-06 00:55:15, Doppler_noise, 0.004747715332769076
2021-09-06 00:55:35, Doppler_noise, -0.0017633823945288896
2021-09-06 00:55:45, Doppler_noise, -0.0005665777292733765
2021-09-06 00:55:55, Doppler_noise, 0.00013571624833730311
2021-09-06 00:56:15, Doppler_noise, 0.0009523828117607992
2021-09-06 00:56:25, Doppler_noise, 0.004980072991656924
2021-09-06 00:56:35, Doppler_noise, -0.010034279239562238
2021-09-06 00:56:45, Doppler_noise, -0.0088277703142694
2021-09-06 00:56:55, Doppler_noise, 0.005739824305237562
2021-09-06 00:57:05, Doppler_noise, -0.00316653994934768
2021-09-06 00:57:25, Doppler_noise, -0.008793206523591834
2021-09-06 00:57:35, Doppler_noise, -0.00026459370212705835
2021-09-06 00:57:45, Doppler_noise, -0.0024877972907688672
2021-09-06 00:58:15, Doppler_noise, 0.003351135519096715
2021-09-06 01:00:05, Doppler_noise, 0.0023274719358141738
2021-09-06 01:00:15, Doppler_noise, 0.004966180845713097
2021-09-06 01:00:25, Doppler_noise, -0.0010337713055150743
2021-09-06 01:00:45, Doppler_noise, -0.006904746108034488
2021-09-06 01:00:55, Doppler_noise, 0.00380429198321508
2021-09-06 01:01:05, Doppler_noise, 0.006037585918647892
2021-09-06 01:01:15, Doppler_noise, -0.007612037442640941
2021-09-06 01:01:35, Doppler_noise, -0.007162485711546651
2021-09-06 01:01:45, Doppler_noise, 0.001766880584568753
2021-09-06 01:01:55, Doppler_noise, 0.005920251780366925
2021-09-06 01:02:05, Doppler_noise, -0.008969342615728237
2021-09-06 01:02:15, Doppler_noise, 0.0012425659097061723
2021-09-06 01:02:35, Doppler_noise, 0.004604494541013081
2021-09-06 01:02:45, Doppler_noise, 0.005720862841258168
2021-09-06 01:02:55, Doppler_noise, -0.008016976628027805
2021-09-06 01:03:15, Doppler_noise, -0.007597548014359746
2021-09-06 01:03:35, Doppler_noise, 0.0017668980375447063
2021-09-06 01:03:45, Doppler_noise, -0.004564412030163112
2021-09-06 01:03:55, Doppler_noise, -0.007719421191609398
2021-09-06 01:04:05, Doppler_noise, -0.002805439508620111
2021-09-06 01:04:15, Doppler_noise, -0.002078410494164018
2021-09-06 01:04:35, Doppler_noise, 0.0036688441815613264
2021-09-06 01:04:45, Doppler_noise, -0.006434413427996333
2021-09-06 01:04:55, Doppler_noise, -0.0032446821447820184
2021-09-06 01:05:05, Doppler_noise, -0.003796565648372052
2021-09-06 01:05:15, Doppler_noise, -0.007078185700493123
2021-09-06 01:05:25, Doppler_noise, -0.005782476223885169
2021-09-06 01:05:55, Doppler_noise, 0.0011973433012144596
2021-09-06 01:06:55, Doppler_noise, -0.003210392270830198
2021-09-06 01:07:05, Doppler_noise, -0.005516295026041007
2021-09-06 01:07:25, Doppler_noise, -0.005683599446797416
2021-09-06 01:07:35, Doppler_noise, 0.005895294032484344
2021-09-06 01:07:45, Doppler_noise, -0.0018212599841263
2021-09-06 01:07:55, Doppler_noise, -0.00019645445593141633
2021-09-06 01:08:05, Doppler_noise, 0.0035792025940963867
2021-09-06 01:08:15, Doppler_noise, -0.0010857986897008232
2021-09-06 01:08:25, Doppler_noise, -0.008352161451057327
2021-09-06 01:08:35, Doppler_noise, -0.005946208652517271
2021-09-06 01:08:45, Doppler_noise, -0.0031569361414085506
2021-09-06 01:08:55, Doppler_noise, 0.004698965628676888
2021-09-06 01:09:05, Doppler_noise, -0.0028392925570415173
2021-09-06 01:09:25, Doppler_noise, -0.00012334893017396098
2021-09-06 01:09:35, Doppler_noise, -0.0050000070476698966
2021-09-06 01:09:45, Doppler_noise, 0.002399438998963888
2021-09-06 01:09:55, Doppler_noise, 0.0022885501346081583
2021-09-06 01:10:05, Doppler_noise, -0.004148451417222532
2021-09-06 01:10:15, Doppler_noise, -0.0039329024587004815
2021-09-06 01:10:25, Doppler_noise, -0.005105570193109088
2021-09-06 01:10:35, Doppler_noise, -0.004572422616547556
2021-09-06 01:10:45, Doppler_noise, -0.00163303611043375
2021-09-06 01:10:55, Doppler_noise, -0.0005946825014007118
2021-09-06 01:11:15, Doppler_noise, -0.000390412665524309
2021-09-06 01:11:25, Doppler_noise, -0.006121594930391439
2021-09-06 01:11:35, Doppler_noise, -0.0015431568668873297
2021-09-06 01:11:45, Doppler_noise, 0.004482690543341049
2021-09-06 01:11:55, Doppler_noise, 0.004766164737247891
2021-09-06 01:12:05, Doppler_noise, 0.003767681079011709
2021-09-06 01:12:15, Doppler_noise, 0.0035599183536305645
2021-09-06 01:12:45, Doppler_noise, 0.0033887597791135704
2021-09-06 01:12:55, Doppler_noise, 0.00577195776327244
2021-09-06 01:13:05, Doppler_noise, -0.0024661978737867685
2021-09-06 01:13:15, Doppler_noise, 0.003851242014661693
2021-09-06 01:13:35, Doppler_noise, 0.006114518671665792
2021-09-06 01:13:45, Doppler_noise, -0.001865528001644634
2021-09-06 01:13:55, Doppler_noise, -0.002098021975257325
2021-09-06 01:14:05, Doppler_noise, -0.007229710938531752
2021-09-06 01:14:15, Doppler_noise, 0.0027004443422811164
2021-09-06 01:14:25, Doppler_noise, -0.0003518263690693857
2021-09-06 01:14:35, Doppler_noise, -0.007815413215439548
2021-09-06 01:14:45, Doppler_noise, -0.008289214036949488
2021-09-06 01:15:05, Doppler_noise, -0.005401066276021993
