UTC Time, Parameter, Value
2021-09-08 01:50:05, SNR, 3911.8819910207208
2021-09-08 01:50:55, SNR, 4554.937386184103
2021-09-08 01:51:15, SNR, 4312.796524506774
2021-09-08 01:51:25, SNR, 3793.742620462368
2021-09-08 01:51:35, SNR, 4479.842523574015
2021-09-08 01:51:45, SNR, 4080.1822282134895
2021-09-08 01:51:55, SNR, 3978.640128500445
2021-09-08 01:52:25, SNR, 3700.232579214709
2021-09-08 01:52:35, SNR, 3708.319041886668
2021-09-08 01:52:45, SNR, 4136.129182786944
2021-09-08 01:53:15, SNR, 3771.0352913223433
2021-09-08 01:53:25, SNR, 3892.1645322742183
2021-09-08 01:53:45, SNR, 3776.495245506167
2021-09-08 01:53:55, SNR, 4078.2248002417978
2021-09-08 01:54:55, SNR, 4351.149860956249
2021-09-08 01:55:15, SNR, 4544.880157287218
2021-09-08 01:55:25, SNR, 3985.169936057153
2021-09-08 01:55:35, SNR, 4279.762431068944
2021-09-08 01:55:55, SNR, 3717.551745502552
2021-09-08 01:56:05, SNR, 3689.6206833258593
2021-09-08 01:56:15, SNR, 4104.264129822161
2021-09-08 01:56:25, SNR, 3652.621760368542
2021-09-08 01:56:35, SNR, 4288.402260816099
2021-09-08 01:56:55, SNR, 4312.180255332311
2021-09-08 01:57:05, SNR, 4424.656767179551
2021-09-08 01:57:15, SNR, 4111.507897105087
2021-09-08 01:57:25, SNR, 3977.8561626723385
2021-09-08 01:57:35, SNR, 3802.708316225688
2021-09-08 01:57:45, SNR, 3918.739718462924
2021-09-08 01:57:55, SNR, 4211.403828250272
2021-09-08 01:58:15, SNR, 4115.591786387482
2021-09-08 01:58:35, SNR, 4462.910967177422
2021-09-08 01:58:45, SNR, 4367.118426888627
2021-09-08 01:59:05, SNR, 3769.035901690266
2021-09-08 01:59:15, SNR, 4257.1057530564185
2021-09-08 01:59:25, SNR, 4314.795064579162
2021-09-08 01:59:35, SNR, 4331.215935902104
2021-09-08 02:00:15, SNR, 4075.877531473445
2021-09-08 02:00:35, SNR, 4295.431587374909
2021-09-08 02:00:45, SNR, 3978.60082316708
2021-09-08 02:00:55, SNR, 3950.860631706045
2021-09-08 02:01:05, SNR, 4062.611077547209
2021-09-08 02:01:15, SNR, 4226.231097302672
2021-09-08 02:01:45, SNR, 3680.921806659287
2021-09-08 02:01:55, SNR, 4094.7280553212736
2021-09-08 02:02:05, SNR, 4433.862978076984
2021-09-08 02:02:25, SNR, 3834.8840842567624
2021-09-08 02:02:35, SNR, 3825.611040449231
2021-09-08 02:02:45, SNR, 4074.915868274312
2021-09-08 02:03:05, SNR, 3676.831636292048
2021-09-08 02:03:25, SNR, 4337.732625586835
