UTC Time, Parameter, Value
2021-09-06 00:40:07, SNR, 13829.229050157275
2021-09-06 00:40:17, SNR, 13571.936941689482
2021-09-06 00:40:27, SNR, 15429.828225784007
2021-09-06 00:40:37, SNR, 13790.322313306355
2021-09-06 00:41:27, SNR, 13682.077727116943
2021-09-06 00:41:37, SNR, 14693.9183818492
2021-09-06 00:41:57, SNR, 14602.806697964996
2021-09-06 00:42:27, SNR, 15469.504122782004
2021-09-06 00:42:37, SNR, 13360.962086310836
2021-09-06 00:42:57, SNR, 13244.078882198744
2021-09-06 00:43:07, SNR, 13859.932597457951
2021-09-06 00:43:37, SNR, 13249.1511917509
2021-09-06 00:43:47, SNR, 13669.046591837747
2021-09-06 00:44:07, SNR, 13488.110289303531
2021-09-06 00:44:27, SNR, 13757.231525841207
2021-09-06 00:45:17, SNR, 12774.50458396032
2021-09-06 00:45:37, SNR, 14158.948298000363
2021-09-06 00:46:07, SNR, 14600.299028566333
2021-09-06 00:46:17, SNR, 13643.840758479228
2021-09-06 00:46:37, SNR, 13311.187883475364
2021-09-06 00:46:47, SNR, 13107.902204666712
2021-09-06 00:46:57, SNR, 12840.943202568862
2021-09-06 00:47:07, SNR, 13677.768404839497
2021-09-06 00:47:17, SNR, 14084.076854744371
2021-09-06 00:47:27, SNR, 12981.195627946128
2021-09-06 00:47:37, SNR, 14477.958661623636
2021-09-06 00:47:57, SNR, 13761.924320584629
2021-09-06 00:48:17, SNR, 13102.092897350034
2021-09-06 00:48:37, SNR, 13436.1309915666
2021-09-06 00:48:47, SNR, 13925.358664083547
2021-09-06 00:49:37, SNR, 13502.983893792749
2021-09-06 00:50:07, SNR, 14924.134877254783
2021-09-06 00:50:17, SNR, 12910.393605805468
2021-09-06 00:50:27, SNR, 15287.087776558155
2021-09-06 00:50:37, SNR, 15769.289664314909
2021-09-06 00:51:17, SNR, 14036.783285901638
2021-09-06 00:52:07, SNR, 13343.284742688104
2021-09-06 00:52:27, SNR, 13971.736111115624
2021-09-06 00:52:47, SNR, 14894.142360113421
