# Time (UTC) | Elevation (degrees)
2021-09-06T00:40:05 | 39.77
2021-09-06T00:41:05 | 40.00
2021-09-06T00:42:05 | 40.23
2021-09-06T00:43:05 | 40.46
2021-09-06T00:44:05 | 40.69
2021-09-06T00:45:05 | 40.93
2021-09-06T00:46:05 | 41.16
2021-09-06T00:47:05 | 41.39
2021-09-06T00:48:05 | 41.62
2021-09-06T00:49:05 | 41.85
2021-09-06T00:50:05 | 42.08
2021-09-06T00:51:05 | 42.31
2021-09-06T00:52:05 | 42.54
2021-09-06T00:53:05 | 42.77
2021-09-06T00:54:05 | 43.00
2021-09-06T00:55:05 | 43.23
2021-09-06T00:56:05 | 43.46
2021-09-06T00:57:05 | 43.69
2021-09-06T00:58:05 | 43.92
2021-09-06T00:59:05 | 44.15
2021-09-06T01:00:05 | 44.38
2021-09-06T01:01:05 | 44.61
2021-09-06T01:02:05 | 44.84
2021-09-06T01:03:05 | 45.07
2021-09-06T01:04:05 | 45.30
2021-09-06T01:05:05 | 45.53
2021-09-06T01:06:05 | 45.75
2021-09-06T01:07:05 | 45.98
2021-09-06T01:08:05 | 46.21
2021-09-06T01:09:05 | 46.44
2021-09-06T01:10:05 | 46.66
2021-09-06T01:11:05 | 46.89
2021-09-06T01:12:05 | 47.12
2021-09-06T01:13:05 | 47.34
2021-09-06T01:14:05 | 47.57
2021-09-06T01:15:05 | 47.79
2021-09-06T01:16:05 | 48.02
2021-09-06T01:17:05 | 48.25
2021-09-06T01:18:05 | 48.47
